Policy Number,Customer ID,Customer Name,Mobile Number,Email Id,Age,Gender,Marital Status,Dependents,Location,Occupation,Claims (3yrs),Claim Type,Online Activity,Service Calls,Current Insurance,Coverage,Renewal,Premium (3yrs),Recommended Insurance,Page_Visits_Health,Page_Visits_Auto,Page_Visits_Home,Page_Visits_Life,Time_Spent_Health,Time_Spent_Auto
44110,907,Vincent Marsh,+1-855-910-6941x2646,mcook@example.org,68,Female,Single,2,Lake Zacharybury,Interpreter,3,Natural Disaster,14,3,Health Insurance C,Partial,2024-09-18,1880,Disability Insurance,17,8,19,7,42,53
44430,580,Alexis Sanchez,8183712043,cgonzales@example.com,51,Female,Married,2,Barneston,Recycling officer,3,Natural Disaster,20,3,Home Insurance A,Full,2024-11-19,3556,Critical illness Insurance,19,20,4,6,19,28
95074,403,Tonya Gonzalez,001-987-885-4402x147,christopherkelly@example.org,69,Male,Single,5,Port Adamside,Environmental education officer,0,Accident,77,2,Home Insurance A,Partial,2026-05-31,2181,Health Insurance,1,3,1,9,21,94
49607,400,Carol Zavala,560.361.2086x24227,jared98@example.net,33,Male,Single,2,Jacksonfort,Chartered accountant,0,Accident,56,4,Auto Insurance B,Full,2025-11-09,2835,Hospital indemnity insurance,9,9,20,11,54,74
95686,221,Patricia Ferrell,(961)702-9769,lcox@example.net,22,Male,Married,3,Lowefort,"Biochemist, clinical",2,Accident,83,9,Life Insurance D,Full,2025-08-23,2133,Disability Insurance,7,20,12,17,78,113
18309,491,Kayla Valenzuela,852-642-3631,kellywilson@example.org,58,Female,Single,1,Rodriguezmouth,Oceanographer,3,Theft,8,6,Life Insurance D,Full,2025-12-01,2136,Accident Insurance,14,2,12,7,14,71
46936,772,Michelle Stewart,001-588-260-7675x7240,jasonchan@example.net,40,Male,Single,3,Arnoldstad,Trading standards officer,1,Theft,17,7,Home Insurance A,Partial,2025-01-10,3353,Accident Insurance,6,16,15,3,25,47
47568,791,Christina Walker,850.353.5631x827,suzannemelendez@example.net,25,Female,Married,0,South Markville,"Designer, furniture",3,Accident,99,9,Auto Insurance B,Partial,2024-08-01,1819,Disability Insurance,8,5,2,1,89,32
15822,279,Sergio Payne,001-587-438-3507x397,jeffrey09@example.net,21,Female,Married,2,Carolinestad,Purchasing manager,1,Natural Disaster,81,10,Auto Insurance B,Partial,2024-08-06,3522,Disability Insurance,10,4,3,19,37,33
62587,781,Roger Estes,001-472-938-1874x902,angela26@example.org,19,Female,Single,4,Ginabury,Farm manager,3,Natural Disaster,0,5,Auto Insurance B,Full,2025-05-11,1326,Health Insurance,8,9,16,2,61,54
47214,924,Timothy Graham,(587)504-7257,edward79@example.com,29,Female,Single,2,Port Laura,"Programmer, systems",0,Natural Disaster,83,4,Life Insurance D,Full,2026-06-19,2604,Life Insurance,6,9,10,14,73,64
58515,277,Joshua Campbell,443-842-1584x569,estradarichard@example.com,50,Male,Single,5,West Shelleybury,"Administrator, sports",0,Theft,36,6,Health Insurance C,Full,2024-12-22,1440,Vision Insurance,1,4,14,1,41,84
64897,103,Shaun Mcclure,(495)722-4775,lewischristopher@example.org,18,Female,Single,0,South Brandi,Careers information officer,3,Accident,25,9,Home Insurance A,Partial,2025-09-09,3598,Dental Insurance,0,11,10,13,11,68
